"Fator1","Fator2","Fator3","Bloco","Produtividade","Altura"
"A1","B1","C1","R1",41.02,62.6
"A2","B1","C1","R1",46.8,65.1
"A3","B1","C1","R1",50.82,63.5
"A1","B2","C1","R1",46.24,63.4
"A2","B2","C1","R1",52.62,66.1
"A3","B2","C1","R1",58.9,69.4
"A1","B3","C1","R1",48.96,62.8
"A2","B3","C1","R1",60.56,70.3
"A3","B3","C1","R1",69.96,75.3
"A1","B1","C2","R1",34.65,63.5
"A2","B1","C2","R1",41.41,66.1
"A3","B1","C2","R1",52.46,71.1
"A1","B2","C2","R1",43.58,66
"A2","B2","C2","R1",53.76,73
"A3","B2","C2","R1",68.26,77.9
"A1","B3","C2","R1",50.78,69.2
"A2","B3","C2","R1",67.98,80.8
"A3","B3","C2","R1",83.76,88.7
"A1","B1","C1","R2",41.7,60.1
"A2","B1","C1","R2",46.56,62.9
"A3","B1","C1","R2",52.44,63.9
"A1","B2","C1","R2",46.64,63.3
"A2","B2","C1","R2",54.2,67.1
"A3","B2","C1","R2",60.12,70
"A1","B3","C1","R2",48.53,62.2
"A2","B3","C1","R2",61.46,68.2
"A3","B3","C1","R2",71.02,71.7
"A1","B1","C2","R2",38.52,62.1
"A2","B1","C2","R2",45.2,63.8
"A3","B1","C2","R2",52.93,68.7
"A1","B2","C2","R2",41.62,68.4
"A2","B2","C2","R2",54.54,71.7
"A3","B2","C2","R2",67.74,77.1
"A1","B3","C2","R2",50.86,69.8
"A2","B3","C2","R2",67.08,77.6
"A3","B3","C2","R2",83.56,90.1
"A1","B1","C1","R3",41.46,61.1
"A2","B1","C1","R3",44.49,58.5
"A3","B1","C1","R3",51.37,62.7
"A1","B2","C1","R3",43.64,64.4
"A2","B2","C1","R3",51.25,64.2
"A3","B2","C1","R3",58.68,67.7
"A1","B3","C1","R3",48.6,63.9
"A2","B3","C1","R3",58.27,66.3
"A3","B3","C1","R3",70.89,74.4
"A1","B1","C2","R3",37.32,63.6
"A2","B1","C2","R3",43.01,64.6
"A3","B1","C2","R3",53.05,66.5
"A1","B2","C2","R3",44.3,66
"A2","B2","C2","R3",55.23,73.2
"A3","B2","C2","R3",66.21,78.1
"A1","B3","C2","R3",50.21,71.1
"A2","B3","C2","R3",65.87,80.3
"A3","B3","C2","R3",83.17,85.1
"A1","B1","C1","R4",40.92,62.1
"A2","B1","C1","R4",46.03,62.7
"A3","B1","C1","R4",51.94,65.7
"A1","B2","C1","R4",45.8,64.4
"A2","B2","C1","R4",52.8,65.3
"A3","B2","C1","R4",61.04,69.1
"A1","B3","C1","R4",48.81,65.9
"A2","B3","C1","R4",58.13,69.6
"A3","B3","C1","R4",69.58,70.7
"A1","B1","C2","R4",37.97,63.2
"A2","B1","C2","R4",44.81,66.8
"A3","B1","C2","R4",53.21,71.4
"A1","B2","C2","R4",45.03,66.5
"A2","B2","C2","R4",56.71,73.1
"A3","B2","C2","R4",66.97,77.2
"A1","B3","C2","R4",51.1,68
"A2","B3","C2","R4",65.94,77.6
"A3","B3","C2","R4",83.3,87.4
